date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
01/23/2020,HI,01/16/2020,01/22/2020,0,0,0,0,0,0
01/30/2020,HI,01/23/2020,01/29/2020,0,0,0,0,0,0
02/06/2020,HI,01/30/2020,02/05/2020,0,0,0,0,0,0
02/13/2020,HI,02/06/2020,02/12/2020,0,0,0,0,0,0
02/20/2020,HI,02/13/2020,02/19/2020,0,0,0,0,0,0
02/27/2020,HI,02/20/2020,02/26/2020,0,0,0,0,0,0
03/05/2020,HI,02/27/2020,03/04/2020,0,0,0,0,0,0
03/12/2020,HI,03/05/2020,03/11/2020,4,4,1,1,0,0
03/19/2020,HI,03/12/2020,03/18/2020,19,15,1,0,0,0
03/26/2020,HI,03/19/2020,03/25/2020,105,86,1,0,0,0
04/02/2020,HI,03/26/2020,04/01/2020,257,152,5,4,0,0
04/09/2020,HI,04/02/2020,04/08/2020,406,149,10,5,0,0
04/16/2020,HI,04/09/2020,04/15/2020,488,82,13,3,0,0
04/23/2020,HI,04/16/2020,04/22/2020,551,63,13,0,0,0
04/30/2020,HI,04/23/2020,04/29/2020,583,32,14,1,0,0
05/07/2020,HI,04/30/2020,05/06/2020,607,24,14,0,0,0
05/14/2020,HI,05/07/2020,05/13/2020,623,16,14,0,0,0
05/21/2020,HI,05/14/2020,05/20/2020,638,15,14,0,0,0
05/28/2020,HI,05/21/2020,05/27/2020,647,9,14,0,0,0
06/04/2020,HI,05/28/2020,06/03/2020,659,12,15,1,0,0
06/11/2020,HI,06/04/2020,06/10/2020,684,25,16,1,0,0
06/18/2020,HI,06/11/2020,06/17/2020,747,63,16,0,0,0
06/25/2020,HI,06/18/2020,06/24/2020,835,88,19,3,0,0
07/02/2020,HI,06/25/2020,07/01/2020,936,101,22,3,0,0
07/09/2020,HI,07/02/2020,07/08/2020,1087,151,23,1,0,0
07/16/2020,HI,07/09/2020,07/15/2020,1284,197,28,5,0,0
07/23/2020,HI,07/16/2020,07/22/2020,1444,160,29,1,0,0
07/30/2020,HI,07/23/2020,07/29/2020,1798,354,33,4,0,0
08/06/2020,HI,07/30/2020,08/05/2020,2645,847,47,14,0,0
08/13/2020,HI,08/06/2020,08/12/2020,3874,1229,69,22,0,0
08/20/2020,HI,08/13/2020,08/19/2020,5512,1638,106,37,0,0
08/27/2020,HI,08/20/2020,08/26/2020,7203,1691,155,49,0,0
09/03/2020,HI,08/27/2020,09/02/2020,8999,1796,200,45,0,0
09/10/2020,HI,09/03/2020,09/09/2020,10265,1266,229,29,0,0
09/17/2020,HI,09/10/2020,09/16/2020,11120,855,252,23,0,0
09/24/2020,HI,09/17/2020,09/23/2020,11762,642,272,20,0,0
10/01/2020,HI,09/24/2020,09/30/2020,12539,777,288,16,0,0
10/08/2020,HI,10/01/2020,10/07/2020,13204,665,305,17,0,0
10/15/2020,HI,10/08/2020,10/14/2020,13819,615,320,15,0,0
10/22/2020,HI,10/15/2020,10/21/2020,14421,602,331,11,0,0
10/29/2020,HI,10/22/2020,10/28/2020,15039,618,335,4,0,0
11/05/2020,HI,10/29/2020,11/04/2020,15629,590,340,5,0,0
11/12/2020,HI,11/05/2020,11/11/2020,16376,747,350,10,0,0
11/19/2020,HI,11/12/2020,11/18/2020,17007,631,360,10,0,0
11/26/2020,HI,11/19/2020,11/25/2020,17783,776,373,13,0,0
12/03/2020,HI,11/26/2020,12/02/2020,18338,555,374,1,0,0
12/10/2020,HI,12/03/2020,12/09/2020,19071,733,377,3,0,0
12/17/2020,HI,12/10/2020,12/16/2020,19927,856,385,8,0,0
12/24/2020,HI,12/17/2020,12/23/2020,20824,897,399,14,0,0
12/31/2020,HI,12/24/2020,12/30/2020,21511,687,407,8,0,0
01/07/2021,HI,12/31/2020,01/06/2021,22642,1131,428,21,0,0
01/14/2021,HI,01/07/2021,01/13/2021,24004,1362,440,12,0,0
01/21/2021,HI,01/14/2021,01/20/2021,24893,889,447,7,0,0
01/28/2021,HI,01/21/2021,01/27/2021,25710,817,456,9,0,0
02/04/2021,HI,01/28/2021,02/03/2021,26323,613,463,7,0,0
02/11/2021,HI,02/04/2021,02/10/2021,26806,483,465,2,0,0
02/18/2021,HI,02/11/2021,02/17/2021,27133,327,469,4,0,0
02/25/2021,HI,02/18/2021,02/24/2021,27479,346,472,3,0,0
03/04/2021,HI,02/25/2021,03/03/2021,27796,317,477,5,0,0
03/11/2021,HI,03/04/2021,03/10/2021,28202,406,480,3,0,0
03/18/2021,HI,03/11/2021,03/17/2021,28657,455,485,5,0,0
03/25/2021,HI,03/18/2021,03/24/2021,29303,646,488,3,0,0
04/01/2021,HI,03/25/2021,03/31/2021,30130,827,490,2,0,0
04/08/2021,HI,04/01/2021,04/07/2021,30833,703,493,3,0,0
04/15/2021,HI,04/08/2021,04/14/2021,31495,662,497,4,0,0
04/22/2021,HI,04/15/2021,04/21/2021,32132,637,499,2,0,0
04/29/2021,HI,04/22/2021,04/28/2021,32736,604,501,2,0,0
05/06/2021,HI,04/29/2021,05/05/2021,33475,739,509,8,0,0
05/13/2021,HI,05/06/2021,05/12/2021,34097,622,515,6,0,0
05/20/2021,HI,05/13/2021,05/19/2021,34698,601,516,1,0,0
05/27/2021,HI,05/20/2021,05/26/2021,35073,375,526,10,0,0
06/03/2021,HI,05/27/2021,06/02/2021,35448,375,530,4,0,0
06/10/2021,HI,06/03/2021,06/09/2021,35820,372,530,0,0,0
06/17/2021,HI,06/10/2021,06/16/2021,36213,393,533,3,0,0
06/24/2021,HI,06/17/2021,06/23/2021,36522,309,533,0,0,0
07/01/2021,HI,06/24/2021,06/30/2021,36848,326,540,7,0,0
07/08/2021,HI,07/01/2021,07/07/2021,37226,378,546,6,0,0
07/15/2021,HI,07/08/2021,07/14/2021,37816,590,557,11,0,0
07/22/2021,HI,07/15/2021,07/21/2021,38811,995,572,15,0,0
07/29/2021,HI,07/22/2021,07/28/2021,40398,1587,582,10,0,0
08/05/2021,HI,07/29/2021,08/04/2021,43218,2820,613,31,0,0
08/12/2021,HI,08/05/2021,08/11/2021,47250,4032,663,50,0,0
08/19/2021,HI,08/12/2021,08/18/2021,52065,4815,718,55,0,0
08/26/2021,HI,08/19/2021,08/25/2021,57609,5544,776,58,0,0
09/02/2021,HI,08/26/2021,09/01/2021,63506,5897,853,77,0,0
09/09/2021,HI,09/02/2021,09/08/2021,68409,4903,905,52,0,0
09/16/2021,HI,09/09/2021,09/15/2021,72574,4165,960,55,0,0
09/23/2021,HI,09/16/2021,09/22/2021,75923,3349,1007,47,0,0
09/30/2021,HI,09/23/2021,09/29/2021,78355,2432,1034,27,0,0
10/07/2021,HI,09/30/2021,10/06/2021,80096,1741,1059,25,0,0
10/14/2021,HI,10/07/2021,10/13/2021,81244,1148,1075,16,0,0
10/21/2021,HI,10/14/2021,10/20/2021,82155,911,1084,9,0,0
10/28/2021,HI,10/21/2021,10/27/2021,83135,980,1095,11,0,0
11/04/2021,HI,10/28/2021,11/03/2021,83893,758,1104,9,0,0
11/11/2021,HI,11/04/2021,11/10/2021,84678,785,1109,5,0,0
11/18/2021,HI,11/11/2021,11/17/2021,85367,689,1115,6,0,0
11/25/2021,HI,11/18/2021,11/24/2021,86040,673,1121,6,0,0
12/02/2021,HI,11/25/2021,12/01/2021,86640,600,1126,5,0,0
12/09/2021,HI,12/02/2021,12/08/2021,87368,728,1131,5,0,0
12/16/2021,HI,12/09/2021,12/15/2021,88933,1565,1136,5,0,0
12/23/2021,HI,12/16/2021,12/22/2021,94730,5797,1148,12,0,0
12/30/2021,HI,12/23/2021,12/29/2021,107038,12308,1162,14,0,0
01/06/2022,HI,12/30/2021,01/05/2022,127173,20135,1184,22,0,0
01/13/2022,HI,01/06/2022,01/12/2022,159399,32226,1236,52,0,0
01/20/2022,HI,01/13/2022,01/19/2022,188894,29495,1295,59,0,0
01/27/2022,HI,01/20/2022,01/26/2022,211091,22197,1356,61,0,0
02/03/2022,HI,01/27/2022,02/02/2022,223781,12690,1387,31,0,0
02/10/2022,HI,02/03/2022,02/09/2022,230506,6725,1407,20,0,0
02/17/2022,HI,02/10/2022,02/16/2022,233894,3388,1420,13,0,0
02/24/2022,HI,02/17/2022,02/23/2022,235821,1927,1428,8,0,0
03/03/2022,HI,02/24/2022,03/02/2022,237105,1284,1435,7,0,0
03/10/2022,HI,03/03/2022,03/09/2022,238053,948,1439,4,0,0
03/17/2022,HI,03/10/2022,03/16/2022,238766,713,1444,5,0,0
03/24/2022,HI,03/17/2022,03/23/2022,239581,815,1444,0,0,0
03/31/2022,HI,03/24/2022,03/30/2022,240537,956,1444,0,0,0
04/07/2022,HI,03/31/2022,04/06/2022,241681,1144,1445,1,0,0
04/14/2022,HI,04/07/2022,04/13/2022,243128,1447,1447,2,0,0
04/21/2022,HI,04/14/2022,04/20/2022,245306,2178,1449,2,0,0
04/28/2022,HI,04/21/2022,04/27/2022,248362,3056,1454,5,0,0
05/05/2022,HI,04/28/2022,05/04/2022,252706,4344,1460,6,0,0
05/12/2022,HI,05/05/2022,05/11/2022,258839,6133,1468,8,0,0
05/19/2022,HI,05/12/2022,05/18/2022,266244,7405,1479,11,0,0
05/26/2022,HI,05/19/2022,05/25/2022,275057,8813,1495,16,0,0
06/02/2022,HI,05/26/2022,06/01/2022,283702,8645,1517,22,0,0
06/09/2022,HI,06/02/2022,06/08/2022,291909,8207,1535,18,0,0
06/16/2022,HI,06/09/2022,06/15/2022,298751,6842,1549,14,0,0
06/23/2022,HI,06/16/2022,06/22/2022,304559,5808,1566,17,0,0
06/30/2022,HI,06/23/2022,06/29/2022,309695,5136,1584,18,0,0
07/07/2022,HI,06/30/2022,07/06/2022,313978,4283,1594,10,0,0
07/14/2022,HI,07/07/2022,07/13/2022,318281,4303,1601,7,0,0
07/21/2022,HI,07/14/2022,07/20/2022,322528,4247,1609,8,0,0
07/28/2022,HI,07/21/2022,07/27/2022,326637,4109,1626,17,0,0
08/04/2022,HI,07/28/2022,08/03/2022,330291,3654,1631,5,0,0
08/11/2022,HI,08/04/2022,08/10/2022,333549,3258,1642,11,0,0
08/18/2022,HI,08/11/2022,08/17/2022,336333,2784,1648,6,0,0
08/25/2022,HI,08/18/2022,08/24/2022,338595,2262,1655,7,0,0
09/01/2022,HI,08/25/2022,08/31/2022,340326,1731,1658,3,0,0
09/08/2022,HI,09/01/2022,09/07/2022,341581,1255,1667,9,0,0
09/15/2022,HI,09/08/2022,09/14/2022,342906,1325,1675,8,0,0
09/22/2022,HI,09/15/2022,09/21/2022,344085,1179,1677,2,0,0
09/29/2022,HI,09/22/2022,09/28/2022,345128,1043,1679,2,0,0
10/06/2022,HI,09/29/2022,10/05/2022,346285,1157,1681,2,0,0
10/13/2022,HI,10/06/2022,10/12/2022,347263,978,1683,2,0,0
10/20/2022,HI,10/13/2022,10/19/2022,348406,1143,1684,1,0,0
10/27/2022,HI,10/20/2022,10/26/2022,349609,1203,1684,0,0,0
11/03/2022,HI,10/27/2022,11/02/2022,350619,1010,1685,1,0,0
11/10/2022,HI,11/03/2022,11/09/2022,351617,998,1685,0,0,0
11/17/2022,HI,11/10/2022,11/16/2022,352609,992,1691,6,0,0
11/24/2022,HI,11/17/2022,11/23/2022,353718,1109,1701,10,0,0
12/01/2022,HI,11/24/2022,11/30/2022,354680,962,1705,4,0,0
12/08/2022,HI,12/01/2022,12/07/2022,355977,1297,1712,7,0,0
12/15/2022,HI,12/08/2022,12/14/2022,357103,1126,1716,4,0,0
12/22/2022,HI,12/15/2022,12/21/2022,358213,1110,1725,9,0,0
12/29/2022,HI,12/22/2022,12/28/2022,359236,1023,1728,3,0,0
01/05/2023,HI,12/29/2022,01/04/2023,360458,1222,1732,4,0,0
01/12/2023,HI,01/05/2023,01/11/2023,361745,1287,1737,5,0,0
01/19/2023,HI,01/12/2023,01/18/2023,362752,1007,1742,5,0,0
01/26/2023,HI,01/19/2023,01/25/2023,363739,987,1753,11,0,0
02/02/2023,HI,01/26/2023,02/01/2023,364457,718,1764,11,0,0
02/09/2023,HI,02/02/2023,02/08/2023,365141,684,1772,8,0,0
02/16/2023,HI,02/09/2023,02/15/2023,365685,544,1788,16,0,0
02/23/2023,HI,02/16/2023,02/22/2023,366213,528,1800,12,0,0
03/02/2023,HI,02/23/2023,03/01/2023,366615,402,1800,0,0,0
03/09/2023,HI,03/02/2023,03/08/2023,367081,466,1807,7,0,0
03/16/2023,HI,03/09/2023,03/15/2023,367496,415,1815,8,0,0
03/23/2023,HI,03/16/2023,03/22/2023,367976,480,1819,4,0,0
03/30/2023,HI,03/23/2023,03/29/2023,369180,1204,1823,4,0,0
04/06/2023,HI,03/30/2023,04/05/2023,370188,1008,1829,6,0,0
04/13/2023,HI,04/06/2023,04/12/2023,371120,932,1833,4,0,0
04/20/2023,HI,04/13/2023,04/19/2023,372029,909,1842,9,0,0
04/27/2023,HI,04/20/2023,04/26/2023,372862,833,1847,5,0,0
05/04/2023,HI,04/27/2023,05/03/2023,373610,748,1852,5,0,0
05/11/2023,HI,05/04/2023,05/10/2023,374264,654,1856,4,0,0
